aiddata_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
94625432,2010,Australia,Afghanistan,62711.2,11420,Higher education
94749146,2010,Australia,Indonesia,4044540,16010,Social/welfare services
96269030,2010,Japan,Uzbekistan,3927010,16063,Narcotics control
94946559,2010,Australia,Vanuatu,207500,43010,Multisector aid
94829567,2010,Australia,"Oceania, regional",73777.9,12220,Basic health care
94739180,2010,Australia,Haiti,7377790,73010,Reconstruction relief
94818154,2010,Australia,"Oceania, regional",40178.9,43010,Multisector aid
94664870,2010,Australia,"Bilateral, unspecified",36889,99820,Promotion of development awareness
94876444,2010,Australia,Philippines,737779,15230,Post-conflict peace building (un)
94928353,2010,Australia,Timor-Leste,365.717,51010,General budget support
94646429,2010,Australia,Bangladesh,22133.4,43081,Multisector education/training
94778868,2010,Australia,Iraq,8197170,73010,Reconstruction relief
94929291,2010,Australia,Timor-Leste,85.2061,15150,Democratic participation and civil society
94673713,2010,Australia,"Bilateral, unspecified",590224,12110,Health policy & admin. management
94932386,2010,Australia,Timor-Leste,722766,12250,Infectious disease control
95914771,2010,Sweden,Ethiopia,3499.27,25010,Business support services & institutions
95908318,2010,Sweden,China,44064.9,14015,Water resources protection
94785689,2010,Australia,Kiribati,13833.4,43081,Multisector education/training
94942069,2010,Australia,Vanuatu,7377.79,53040,Import support (commodities)
94816946,2010,Australia,"Oceania, regional",14212.7,51010,General budget support
97256402,2010,Japan,Kazakhstan,69388100,21020,Road transport
94930552,2010,Australia,Timor-Leste,4611120,12191,Medical services
94658557,2010,Australia,"Bilateral, unspecified",184445,72050,Relief co-ordination; protection and support services
94896072,2010,Australia,Solomon Islands,36889,15220,"Civilian peace-building, conflict prevention and resolution"
97353890,2010,Japan,Morocco,4177910,14031,Basic drinking water supply
94726854,2010,Australia,"Far East Asia, regional",11066.7,16020,Employment policy and admin. mgmt.
94941341,2010,Australia,Uganda,7377.79,43010,Multisector aid
94847237,2010,Australia,Papua New Guinea,737779,74010,Disaster prevention and preparedness
94755339,2010,Australia,Indonesia,1918230,74010,Disaster prevention and preparedness
94897114,2010,Australia,Solomon Islands,228712,99820,Promotion of development awareness
94941101,2010,Australia,Uganda,49678.4,13040,Std control including hiv/aids
94680880,2010,Australia,"Bilateral, unspecified",147556,15110,Public sector policy and adm. management
94639612,2010,Australia,"Asia, regional",3293810,41010,Environmental policy and admin. mgmt
94628965,2010,Australia,Afghanistan,1918230,72010,Emergency/distress relief
94762767,2010,Australia,Indonesia,2213340,14050,Waste management/disposal
94892897,2010,Australia,Solomon Islands,220877,25010,Business support services & institutions
94950105,2010,Australia,Viet Nam,1623110,12220,Basic health care
94708094,2010,Australia,Cambodia,1558.88,12220,Basic health care
94701462,2010,Australia,"Bilateral, unspecified",158623,15110,Public sector policy and adm. management
94904741,2010,Australia,Solomon Islands,8543490,15130,Legal and judicial development
94806052,2010,Australia,Myanmar,321062,99810,Sectors not specified
94877842,2010,Australia,Philippines,184445,99810,Sectors not specified
94635793,2010,Australia,"Africa, regional",91952.1,43010,Multisector aid
94783274,2010,Australia,Kiribati,131001,15110,Public sector policy and adm. management
94900997,2010,Australia,Solomon Islands,103289,99820,Promotion of development awareness
94658852,2010,Australia,"Bilateral, unspecified",177442,43010,Multisector aid
94665453,2010,Australia,"Bilateral, unspecified",48324.6,22010,Communications policy & admin. mgmt
94787293,2010,Australia,Kiribati,155403,11110,Education policy & admin. management
94939490,2010,Australia,Tuvalu,11066.7,15110,Public sector policy and adm. management
94897539,2010,Australia,Solomon Islands,217645,43040,Rural development
94942396,2010,Australia,Vanuatu,14263.5,43040,Rural development
94892071,2010,Australia,Samoa,1180450,51010,General budget support
94962237,2010,Australia,Zimbabwe,1475560,15150,Democratic participation and civil society
95957010,2010,Sweden,Sri Lanka,1814440,14020,Water supply & sanit. - large systems
94879605,2010,Australia,Philippines,516446,73010,Reconstruction relief
94874165,2010,Australia,Philippines,2840450,11220,Primary education
94649735,2010,Australia,"Bilateral, unspecified",295112,15220,"Civilian peace-building, conflict prevention and resolution"
95965776,2010,Sweden,Uganda,368065,99810,Sectors not specified
94933107,2010,Australia,Timor-Leste,814130,11120,Education facilities and training
96187974,2010,Japan,Jamaica,295617,11120,Education facilities and training
94902746,2010,Australia,Solomon Islands,36889,43040,Rural development
94836454,2010,Australia,Pakistan,1844450,72010,Emergency/distress relief
94863903,2010,Australia,Papua New Guinea,147556,11430,Advanced tech. & managerial training
94632999,2010,Australia,"Africa, regional",368890,15230,Post-conflict peace building (un)
94662884,2010,Australia,"Bilateral, unspecified",4941.05,22010,Communications policy & admin. mgmt
94834318,2010,Australia,"Oceania, regional",44266.8,43010,Multisector aid
94731755,2010,Australia,Fiji,33200.1,72010,Emergency/distress relief
97260515,2010,Japan,Kenya,124606000,23040,Electrical transmission/distribution
94672880,2010,Australia,"Bilateral, unspecified",1106670,43081,Multisector education/training
94784518,2010,Australia,Kiribati,8638.29,15110,Public sector policy and adm. management
95946541,2010,Sweden,Serbia,76470.8,15110,Public sector policy and adm. management
94964676,2010,Australia,Zimbabwe,21444.3,43010,Multisector aid
95883744,2010,Sweden,"Africa, regional",907219,41010,Environmental policy and admin. mgmt
94855034,2010,Australia,Papua New Guinea,2527900,15151,Elections
94943639,2010,Australia,Vanuatu,48683.1,15110,Public sector policy and adm. management
94791077,2010,Australia,Laos,15626200,11220,Primary education
94738353,2010,Australia,Grenada,36889,41081,Environmental education/training
94755933,2010,Australia,Indonesia,21616900,16010,Social/welfare services
94754117,2010,Australia,Indonesia,147556,15110,Public sector policy and adm. management
94911120,2010,Australia,Solomon Islands,2096630,12250,Infectious disease control
94898039,2010,Australia,Solomon Islands,372579,15110,Public sector policy and adm. management
94846913,2010,Australia,Papua New Guinea,262703,43010,Multisector aid
94825451,2010,Australia,"Oceania, regional",501397,43010,Multisector aid
94851495,2010,Australia,Papua New Guinea,1613670,15150,Democratic participation and civil society
94886826,2010,Australia,Samoa,184445,23070,Biomass
97260699,2010,Japan,Kenya,321971000,23066,Geothermal energy
94874965,2010,Australia,Philippines,5495390,43081,Multisector education/training
94736666,2010,Australia,Fiji,11704.9,11120,Education facilities and training
94670064,2010,Australia,"Bilateral, unspecified",221334,74010,Disaster prevention and preparedness
94667581,2010,Australia,"Bilateral, unspecified",295112,15110,Public sector policy and adm. management
94684951,2010,Australia,"Bilateral, unspecified",140178,15210,Security system management and reform
94723229,2010,Australia,"Congo, Dem. Rep.",2213340,72010,Emergency/distress relief
94689734,2010,Australia,"Bilateral, unspecified",36889,15210,Security system management and reform
97191155,2010,Japan,India,87266.9,21030,Rail transport
94650577,2010,Australia,"Bilateral, unspecified",110667,13040,Std control including hiv/aids
94721906,2010,Australia,China,110667,15110,Public sector policy and adm. management
94783714,2010,Australia,Kiribati,2479000,11420,Higher education
94879722,2010,Australia,Philippines,737779,15111,Public finance management
94733301,2010,Australia,Fiji,295112,24081,Education/trng in banking & fin. services
94896681,2010,Australia,Solomon Islands,259424,99810,Sectors not specified
94854303,2010,Australia,Papua New Guinea,3604560,99810,Sectors not specified
94902890,2010,Australia,Solomon Islands,57646.8,43010,Multisector aid
94640780,2010,Australia,"Asia, regional",202889,12181,Medical education/training
94829424,2010,Australia,"Oceania, regional",88533.5,15153,Media and free flow of information
94708967,2010,Australia,Chile,590224,15111,Public finance management
94666267,2010,Australia,"Bilateral, unspecified",197566,11110,Education policy & admin. management
94733153,2010,Australia,Fiji,288867,15150,Democratic participation and civil society
94683889,2010,Australia,"Bilateral, unspecified",0.0442668,11110,Education policy & admin. management
96119138,2010,Japan,Burkina Faso,674137,16061,Culture and recreation
94911746,2010,Australia,Somalia,1475560,72050,Relief co-ordination; protection and support services
94942286,2010,Australia,Vanuatu,9766.72,22010,Communications policy & admin. mgmt
94808683,2010,Australia,Myanmar,396654,43040,Rural development
94789713,2010,Australia,Laos,1903710,15250,Land mine clearance
94697703,2010,Australia,"Bilateral, unspecified",1644040,15160,Human rights
94636601,2010,Australia,"Africa, regional",177766,43040,Rural development
